进港流量,temp_c,wind_dir_sin,wind_dir_cos,wind_speed_mps,visibility_m,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,pressure_hpa,dewpoint_c,wind_gust_mps,is_peak_hours
22,26.0,0.766044443118978,-0.6427876096865394,3.5,9999.0,-0.8878852184023756,0.4600650377311516,-0.8660254037844385,-0.5000000000000004,1009.0,22.0,0.0,1
17,26.0,0.8660254037844387,-0.4999999999999998,3.0,9999.0,-0.730835964278124,0.6825531432186541,-0.8660254037844385,-0.5000000000000004,1009.0,22.0,0.0,1
16,26.0,0.7071067811865476,-0.7071067811865475,3.0,9999.0,-0.5195839500354336,0.8544194045464886,-0.8660254037844385,-0.5000000000000004,1009.5,22.5,0.0,1
19,25.5,0.9961946980917455,-0.08715574274765824,3.0,8000.0,-0.2697967711570252,0.962917287347799,-0.8660254037844385,-0.5000000000000004,1010.0,22.5,0.0,1
14,25.0,0.984807753012208,0.17364817766693041,3.5,8000.0,-2.4492935982947064e-16,1.0,-0.8660254037844385,-0.5000000000000004,1010.5,22.0,0.0,1
16,25.0,0.9961946980917455,0.08715574274765814,3.5,8000.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,1011.0,22.0,0.0,0
0,26.5,0.9659258262890683,-0.25881904510252085,3.0,8000.0,0.2697967711570243,0.9629172873477994,-0.8660254037844386,0.5000000000000001,1011.0,22.0,0.0,0
1,27.5,0.9396926207859084,-0.3420201433256687,3.0,8000.0,0.5195839500354336,0.8544194045464886,-0.8660254037844386,0.5000000000000001,1011.0,22.5,0.0,0
2,28.0,0.9961946980917455,-0.08715574274765824,2.5,8000.0,0.730835964278124,0.6825531432186541,-0.8660254037844386,0.5000000000000001,1011.0,23.0,0.0,0
3,28.5,0.8191520442889918,0.573576436351046,2.0,8000.0,0.8878852184023752,0.4600650377311522,-0.8660254037844386,0.5000000000000001,1010.0,23.0,0.0,0
5,29.5,0.9396926207859083,0.3420201433256688,2.5,8999.5,0.9790840876823229,0.20345601305263375,-0.8660254037844386,0.5000000000000001,1009.0,23.0,0.0,0
